Дата;Процент попадания данных из источника 1 в итоговый отчет;Процент попадания данных из источника 2 в итоговый отчет;Процент попадания данных из источника 3 в итоговый отчет;Процент попадания данных из хотя бы одного источника данных в итоговый отчет;Среднее количество записей из источника 1, попавшее в отчет (только для отчетов с данными из источника 1);Среднее количество записей из источника 2, попавшее в отчет (только для отчетов с данными из источника 2);Среднее количество записей из источника 3, попавшее в отчет (только для отчетов с данными из источника 3);Среднее количество записей из любого источника, попавших в отчет (только для отчетов с данными хотя бы из одного источника)
22.11.2024;27,7;39,9;5,9;50,2;1,327;1,514;1,171;2,074
23.11.2024;26,9;38,9;5,9;49,2;1,333;1,53;1,214;2,086
24.11.2024;26;37,2;5,6;47,3;1,329;1,511;1,191;2,06
25.11.2024;26,7;39,3;5,6;49,2;1,314;1,507;1,188;2,049
26.11.2024;25,8;38;5,7;47,9;1,317;1,508;1,202;2,048
27.11.2024;26,3;38,5;5,5;48,6;1,348;1,539;1,211;2,088
28.11.2024;27,6;40,1;5,5;50;1,354;1,53;1,215;2,109
29.11.2024;29,5;42,4;5,7;52,3;1,348;1,516;1,259;2,129
30.11.2024;29;42,1;5,8;51,9;1,33;1,509;1,228;2,105
01.12.2024;28,6;42,4;5,7;51,9;1,352;1,518;1,218;2,118
02.12.2024;28,2;41,3;5,5;51,2;1,343;1,497;1,202;2,081
03.12.2024;28,2;41,4;5,7;51,3;1,31;1,497;1,191;2,06
04.12.2024;28,4;40,7;5,8;51;1,325;1,533;1,212;2,1
05.12.2024;29,4;41,4;5,7;51,8;1,35;1,525;1,231;2,121
06.12.2024;29,5;42,3;5,8;52,5;1,33;1,513;1,198;2,099
07.12.2024;28,3;42,3;5,9;51,6;1,334;1,539;1,212;2,128
08.12.2024;28,6;41;5,4;51;1,313;1,504;1,212;2,074
09.12.2024;27,5;40,7;5,8;50,3;1,34;1,529;1,206;2,112
10.12.2024;28,3;41,4;5,6;51;1,329;1,541;1,203;2,123
11.12.2024;28,4;42,1;5,7;51,7;1,328;1,521;1,226;2,105
12.12.2024;29,5;42,6;5,5;52,4;1,315;1,521;1,216;2,105
13.12.2024;28,4;42;5,7;51,3;1,328;1,539;1,19;2,125
14.12.2024;29,1;43;5,6;52,7;1,312;1,53;1,213;2,102
15.12.2024;28,4;42,9;6,1;51,9;1,338;1,519;1,211;2,128
16.12.2024;28,6;42,1;5,6;51,8;1,323;1,519;1,211;2,095
17.12.2024;29,1;42;5,7;51,7;1,337;1,526;1,218;2,129
18.12.2024;29,1;42;5,7;51,9;1,325;1,531;1,217;2,116
19.12.2024;29,1;42,3;5,8;52,6;1,31;1,522;1,217;2,081
20.12.2024;29,1;42,9;6;52,4;1,334;1,543;1,214;2,143
21.12.2024;28,3;42,2;5,6;52,2;1,304;1,54;1,201;2,08
22.12.2024;28,3;42;5,8;51,6;1,325;1,541;1,212;2,118
23.12.2024;28,3;42,4;5,9;51,8;1,33;1,532;1,215;2,116
24.12.2024;29,1;43,6;5,8;53,2;1,31;1,526;1,182;2,097
25.12.2024;29,1;43,5;6,3;53,5;1,325;1,53;1,233;2,111
26.12.2024;29;43,2;5,8;53;1,306;1,506;1,217;2,076
27.12.2024;28,8;44;5,9;53,1;1,329;1,533;1,27;2,133
28.12.2024;28,1;42,2;6,2;51,5;1,329;1,54;1,226;2,134
29.12.2024;27,9;40,8;6,4;51,4;1,321;1,562;1,252;2,116
30.12.2024;26,3;40,4;6,3;50,1;1,309;1,519;1,19;2,062
31.12.2024;28,3;41,4;6,1;51,4;1,314;1,549;1,213;2,114
01.01.2025;26,7;37,6;6,6;48,7;1,297;1,556;1,265;2,086
02.01.2025;26,9;39,6;6,1;49,4;1,316;1,561;1,185;2,11
03.01.2025;27,6;40,4;6,4;50,2;1,311;1,533;1,247;2,115
04.01.2025;27,7;39,6;6,2;50,2;1,306;1,509;1,21;2,061
05.01.2025;28,3;41,2;6,2;51,7;1,331;1,534;1,208;2,095
06.01.2025;28,1;42,2;6,1;51,8;1,327;1,532;1,235;2,111
07.01.2025;27,5;41,2;5,9;51,2;1,309;1,519;1,195;2,061
08.01.2025;28,3;41,3;5,8;51,7;1,312;1,55;1,23;2,094
09.01.2025;28,6;41,3;6;51,7;1,32;1,523;1,231;2,091
10.01.2025;28,9;42,5;6,2;52,6;1,328;1,553;1,234;2,131
11.01.2025;29,5;43,6;6,4;53,5;1,308;1,532;1,195;2,112
12.01.2025;28,6;43,5;6,5;53,4;1,315;1,55;1,179;2,108
13.01.2025;29;43,2;6;52,8;1,338;1,55;1,204;2,138
14.01.2025;30,1;44,9;6;54,5;1,327;1,543;1,195;2,136
15.01.2025;30,3;44,3;5,9;54,3;1,318;1,551;1,162;2,126
16.01.2025;30,8;44,4;6;54,6;1,311;1,569;1,196;2,146
17.01.2025;29,7;44,9;5,7;54,4;1,325;1,553;1,211;2,132
18.01.2025;29,7;45,1;5,4;54,7;1,313;1,544;1,189;2,104
19.01.2025;30,3;45,5;6,2;55,3;1,322;1,554;1,225;2,141
20.01.2025;30,4;44,9;6;54,9;1,315;1,545;1,256;2,131
21.01.2025;30,6;45;5,9;55,1;1,346;1,576;1,188;2,162
22.01.2025;29,8;44,6;6;54,5;1,344;1,548;1,26;2,139
23.01.2025;30;44,3;5,9;54,3;1,338;1,559;1,229;2,145
24.01.2025;30,5;44,8;5,7;54,4;1,348;1,559;1,199;2,168
25.01.2025;30,6;45,7;6;55,7;1,346;1,542;1,196;2,132
26.01.2025;30,4;45;6,2;55;1,369;1,54;1,255;2,158
